Lab;Predio;Sala;Detalhe sala (mesa, armário, etc);Nome Equipamento ;Apelido;Tipo;Fabricante;Moeda;Custo de aquisição;Agência financiadora;ID_grupo (partes do mesmo conjunto têm o mesmo número de ID_grupo);Responsável;Potência elétrica;Unidade potencia elétrica;Tensão elétrica minima (V);Tensão elétrica máxima (V);Detalhe da alimentação elétrica (bivolt, trifásico, etc);Outras alimentações (ar, água, etc);Modelo;Spec1;Unidade Spec1;Spec2;Unidade Spec2;Nacionalidade;Ano de aquisição ;Apelido projeto compra;Sistema de patrimônio principal;Numero de patrimônio principal;Finalidade principal;Intervalo de calibração;Condição Equipamento;Data Atualização;Pasta de documentos;OBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;auxiliar
LPM;2;Laboratório Quimico;;Forno digestor assistido por radiação micro-ondas ;;Forno;Milestone;BRL;141.284,56;;;Maciel;1800;W;220;220 V;50/60 Hz;monofasico;Ethos UP;;;;;Itália;20/09/2018;Silício;;5800;Agitação orbital de amostras liquidas contidas em tubos ou frascos, visando o preparo de amostras;;em funcionamento;09/09/2022;LPM02FO001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Ar condicionado Sala Limpa;;Ar Condicionado;TRANE;BRL;1.668,99;;;Maciel;12,3;kW;220;240;60 Hz;monofasico;DLPA 050 1S+TRAE;;;;;EUA;04/07/2003;INCT terras raras;IPT geral;15860;resfriamento do ambiente para bom funcionamento dos equipamentos ;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Centrífuga;;Centrifuga;Quimis;BRL;3598,94;;;Maciel;130;W;220;220;50/60 Hz;monofasico;0222T2;;;;;Brasileira;07/04/2016;Silício;;5440;Separação de amostras imissíveis;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Chapa de Aquecimento em Aço Inox;;Chapa;Quimis;BRL;999,60;;;Maciel;1100;W;120;220;bivolt ;monofasico;Q 313 AM;;;;;Brasileira;2011;Silício;"Preenchido ""sem número""";sem número;Aquecimento de soluções e favorecimento da digestão de materiais;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Chapa de Aquecimento em Aço Inox;;Chapa;Quimis;BRL;999,60;;;Maciel;2000;W;120;220;bivolt ;monofasico;Q313I21;;;;;Brasileira;2011;Silício;;48013;Aquecimento de soluções e favorecimento da digestão de materiais;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Chapa de Aquecimento em Aço Inox;;Chapa;Quimis;BRL;999,60;;;Maciel;2000;W;120;220;bivolt ;monofasico;Q313I21;;;;;Brasileira;2011;Silício;;18653;Aquecimento de soluções e favorecimento da digestão de materiais;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Chapa de Aquecimento em Aço Inox;;Chapa;Quimis;BRL;999,60;;;Maciel;2000;W;120;220;bivolt ;monofasico;Q313I21;;;;;Brasileira;2011;Silício;;4043;Aquecimento de soluções e favorecimento da digestão de materiais;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Chapa de Aquecimento em Aço Inox;;Chapa;Quimis;BRL;999,00;;;Maciel;2000;W;120;220;bivolt ;monofasico;Q313I21;;;;;Brasileira;2011;Silício;;17649;Aquecimento de soluções e favorecimento da digestão de materiais;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Chapa de Aquecimento em Aço Inox;;Chapa;Quimis;BRL;999,00;;;Maciel;2000;W;120;220;bivolt ;monofasico;Q313I21;;;;;Brasileira;2011;Silício;;8654;Aquecimento de soluções e favorecimento da digestão de materiais;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LPM;2;Laboratório Quimico;;Chapa de Aquecimento em Aço Inox;;Chapa;Quimis;BRL;607,70;;;Maciel;2000;W;120;220;bivolt ;monofasico;Q313I21;;;;;Brasileira;16/02/2007;Silício;;4042;Aquecimento de soluções e favorecimento da digestão de materiais;;em funcionamento;03/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
